article number,article name ,Commodity Group Name,Product Retail Price
082000747338,SMIRNOFF PINEAPPLE 1.75L,VODKA,19.99
9780965774788,EL GRITO GOLD 750ML,TEQUILA,61.99
617768181379,SVEDKA GRAPEFRUIT JALAPENO 375ML,VODKA,5.99
082915001365,FIRESTONE SYRAH 750ML,WINE,6.99
080686926900,PINNACLE PEACH 1.75L,VODKA,14.99
881154,DIMPLE PINCH 750ML,SCOTCH,36.99
085155000402,CHANDON ROSE 750ML,WINE,19.99
67219000063,GOIYA CHARDONNAY 750ML,WINE,
080480005429,B&B BENEDICTINE GIFT SET 750ML,LIQUEUR,36.99
088544000526,SOUTHERN COMFORT PEPPER 375ML,WHISKEY,8.99
810735013530,TINYS LIME LIGHT 750ML,TEQUILA,7.99
899739002429,ALTICOLLI MOSCATO 750,WINE,5.99
835229000766,ABSOLUT WILD TEA 750ML,VODKA,
9780965774732,CAKEBREAD SAUVIGNON BLANC 750ML,WINE,29.99
083664872541,MONKEY SHOULDER 750ML,SCOTCH,31.99
894993002017,TANTEO TROPICAL 750ML,TEQUILA,32.99
9780965774822,BOMBAY SAPPHIRE 750ML BAR SPOON,GIN,25.99
081128034160,FINLANIDA 1L,VODKA,14.99
083664872756,STOLICHNAYA CHOC-KOKONUT 750ML,VODKA,21.99
7798090160140,DONA PAULA MALBEC 750ML,WINE,9.99
715006019115,DUET CREAM SHERRY 500ML,WINE,
732048003667,ROSENBLUM SYRAH 750ML,WINE,
811538015349,THREE OLIVES GRAPE 750ML,VODKA,15.99
717888520024,HESS CHARDONNAY 750ML,WINE,9.99
862899000307,UNO POR FAVOR BLANCO 750ML,TEQUILA,34.99
736211875433,V'GUARA 200ML,VODKA,1.99
080432105986,YELLOW SPOT 12YR 750ML,WHISKEY,99.99
088004027575,DI AMORE SAMBUCA GIFT SET 750ML,WINE,13.99
017224712107,CAYMUS CAB SAUV 750ML,WINE,99.99
083103529357,BELLRINGER GIN 750ML,GIN,
9780965774696,BLACK DUCK CRANBERRY 750ML,LIQUEUR,9.99
088076163164,JOHNNIE WALKER RED 1.75L,SCOTCH,41.99
095753005006,ARAK SAN NINE 750ML,WINE,23.99
088076177598,NUVO LEMON SORBET 750ML,LIQUEUR,27.99
080686831051,GIRO GOLD 1L,TEQUILA,9.99
096749312306,KENTUCKY DELUXE 750ML,WHISKEY,5.99
080686931041,PINNACLE PECAN PIE 750ML,VODKA,12.99
721733000449,GRAN PATRON PLATINUM 375ML,TEQUILA,
721733000159,PATRON REPO 750ML,TEQUILA,47.99
875238004065,NORTON MOSCATO,WINE,0.00
080480002664,BOMBAY SAPPHIRE 750ML GIFT,GIN,25.99
811538018005,MAESTRO DOBEL DIAMOND TEQUILA 200ML,TEQUILA,9.99
088692840166,STERLING CAB NAPA 750ML,WINE,19.99
680499817312,SUGAR RIDGE WINERY SANGRIA,WINE,16.99
9421019370393,FIVE STAR CELLARS CABERNET SAUVIGNON 750ML,WINE,
031259032726,RUTA 22 MALBEC 750ML,WINE,11.99
088004021702,TAAKA PINEAPPLE 1.75L,VODKA,10.99
721733001286,PATRON XO CAFE DARK 750ML,LIQUEUR,19.99
089000577286,MONTE ALBAN SILVER 1.75L,TEQUILA,23.99
088586002564,ANT PEPPOLI CHIANTI 750ML,WINE,
082184000342,JACK DANIELS HONEY 375ML,WHISKEY,12.99
7503015648050,REAL GUSTO ORGANIC ANEJO 750ML,TEQUILA,39.99
085000005033,GALLO CHARDONNAY 750ML,WINE,3.99
070491117013,FINEST CALL BANANA 1L,MIXERS,4.99
890128001283,COPA MOSCATO SNGL WINE,WINE,
081753828592,GLENMORANGIE BACALTA 750ML,SCOTCH,99.99
858543000113,SCHILD ESTATE SHIRAZ 750ML,WINE,
744607050401,HERRADURA TEQ SILVER 1LT,TEQUILA,
826493102928,OLIVE IT DIRTY MARTINI 375ML,MIXERS,4.99
085592138591,360 DOUBLE CHOCOLATE 1L,VODKA,12.99
856065002165,DEEP EDDY CRANBERRY 750ML,VODKA,17.99
617768123751,SVEDKA VANILLA 750ML,VODKA,11.99
796238019012,PEIRANO THE OTHER RED 750ML,WINE,
759380115667,CHILANGO GOLD 1.75L,TEQUILA,
898563002407,BORGHETTI SAMBUCA 750ML,LIQUEUR,
088320341010,REAL SANGRIA 1.5L,WINE,10.99
086891026237,LUXARDO MARA 750ML,LIQUEUR,31.99
096749211104,JTS BROWN BOURBON 1.75L,WHISKEY,16.99
088320630008,CRISTAL AGUARDIENTE 750ML,LIQUEUR,15.99
85672400624,CASAMIGOS REPO 1.75L,TEQUILA,129.99
811538010931,JOSE CUERVO SILVER 200ML,TEQUILA,6.99
081128069711,LITTLE BLACK DRESS VODKA 1.75L,VODKA,18.99
088076178243,JOHNNIE WALKER GLD RSV 750ML,SCOTCH,75.99
818292011457,MANUSCRIPT CHARD 750ML,WINE,13.99
675829500019,RANCH 32 CHARD 750ML,WINE,15.99
701254632701,MILADY POMEGRANATE 750ML,LIQUEUR,
089000577309,MONTE ALBAN SILVER 750ML,TEQUILA,12.99
85000016718,BOONES FARM WILD CHERRY 750ML,WINE,3.49
811538014038,GRAN CENTENARIO ANEJO 750ML,TEQUILA,27.99
018138201022,EDNA VALLEY CHARDONNAY 750ML,WINE,9.99
080660353838,HIGHLAND MIST 1L,SCOTCH,9.99
082928399855,DI AMORE SAMBUCA 750ML,LIQUEUR,13.99
721733002078,PATRON CITRONGE LIME 750ML,LIQUEUR,19.99
080686929390,PINNACLE PINEAPPLE 1.75L,VODKA,14.99
082000785262,CROWN ROYAL BLENDERS MASH 13YR 750ML,WHISKEY,69.99
086785470726,SANTA RITA SAUVIGNON BLANC,WINE,3.99
857190,CARLO ROSSI CHABLIS 4L,WINE,12.99
083085904098,RUFFINO MOSCATO D' ASTI 750ML,WINE,9.99
835603001211,CRIOS ROSE MALBEC 750ML,WINE,11.99
085246139431,MAKERS MARK 750ML,WHISKEY,25.99
081308003139,SOUL SISTER PINOT NOIR 750ML,WINE,11.99
088076177789,BUCHANANS MASTER 750ML,SCOTCH,42.99
812459012219,WINEHEART COCONUT 750ML,WINE,10.99
082896001811,ANTHONY'S HILL CABERNET SYRAH 1.5L,WINE,7.99
736040018698,IMPERIA RUSSIAN VODKA 1.75L,VODKA,57.99
088586000201,EROICA REISLING 750ML,WINE,
632070100313,SPEYBURN 1.75L,SCOTCH,29.99
088534001472,ST FRANCIS MERLOT 750ML,WINE,14.99
084692308446,CROFT FINE RUBY PORTO 750ML,WINE,13.99
736040524373,TY KU SAKE COCONUT 750ML,WINE,19.99
080686250029,KAMORA COFFEE 750ML GS,LIQUEUR,11.99
079753000520,GREENHOUSE GIN 750ML,GIN,24.99
089016016854,CLYDE MAYS CASK STRENGTH 750 ML,WHISKEY,
812459011991,KRU VODKA WINTERGREEN 1.0 L,VODKA,6.99
070491112209,FINEST CALL MANGO PUREE 1L,MIXERS,4.99
812459013490,BIRD DOG SMALL BATCH BOURBON,WHISKEY,26.99
082184254479,JACK DANIELS GIFT PACK 750ML,WHISKEY,23.99
088100316511,SCHENLEY OFC 1.75ML,WHISKEY,
082000757993,SMIRNOFF MARSHMALLOW 1.75L,VODKA,19.99
084279950211,VERSASI SWEET MARSALA 750ML,WINE,8.99
082000746638,SMIRNOFF PEAR VODKA 750ML,VODKA,13.99
811272021569,RAMPUR 750ML,WHISKEY,72.99
081308004143,CUPCAKE DRY ROSE 750ML,WINE,10.99
897230002009,MEDEA 750ML,VODKA,39.99
835229010444,ABSOLUT GRAPEFRUIT 1LT,VODKA,
